fornecedor_id,razao_social,cnpj,pais_origem,categoria,rating,tempo_parceria_anos,condicoes_pagamento,moeda_negociacao,contato_email,telefone
FORN001,TechSupply Brasil Ltda,12.345.678/0001-90,Brasil,Tecnologia,A,5,30-60 dias,BRL,contato@techsupply.com.br,+55-11-3456-7890
FORN002,Global Parts International,98.765.432/0001-11,Brasil,Componentes,A+,8,45 dias,BRL,sales@globalparts.com,+55-11-9876-5432
FORN003,EletroMax Distribuidora,11.222.333/0001-44,Brasil,Eletrônicos,B+,3,15-30 dias,BRL,vendas@eletromax.com.br,+55-21-2345-6789
FORN004,IndustriaPro Solutions,22.333.444/0001-55,Brasil,Industrial,A,6,60 dias,BRL,comercial@industriapro.com,+55-11-3344-5566
FORN005,MegaStock Logística,33.444.555/0001-66,Brasil,Logística,B,4,30 dias,BRL,logistica@megastock.com.br,+55-19-9988-7766
FORN006,USA Tech Imports LLC,--,Estados Unidos,Tecnologia,A+,10,90 dias,USD,import@usatech.com,+1-555-123-4567
FORN007,QuímicaBrasil Industrial,44.555.666/0001-77,Brasil,Químicos,A,7,45 dias,BRL,quimica@quimicabr.com,+55-11-5544-3322
FORN008,FastParts Distribuição,55.666.777/0001-88,Brasil,Autopeças,B+,2,15 dias,BRL,fastparts@fastparts.com.br,+55-11-7788-9900
FORN009,NacionalTex Têxtil,66.777.888/0001-99,Brasil,Têxtil,A-,4,30-45 dias,BRL,textil@nacionaltex.com,+55-11-8899-0011
FORN010,China Manufacturing Co,--,China,Manufatura,B,3,90 dias,USD,export@chinamfg.cn,+86-21-5555-8888
FORN011,AgriSupply Nacional,77.888.999/0001-00,Brasil,Agrícola,A,5,30 dias,BRL,agri@agrisupply.com.br,+55-16-3344-5577
FORN012,EuroTech Germany GmbH,--,Alemanha,Tecnologia,A+,12,60-90 dias,EUR,info@eurotech.de,+49-30-1234-5678
FORN013,PlastBrasil Indústria,88.999.000/0001-11,Brasil,Plásticos,B+,3,30 dias,BRL,plastbr@plastbrasil.com,+55-11-9988-7755
FORN014,MetalMecanica Sul,99.000.111/0001-22,Brasil,Metalúrgica,A,8,45-60 dias,BRL,metal@metalsul.com.br,+55-51-3322-4455
FORN015,PaperSupply Distribuidora,00.111.222/0001-33,Brasil,Papel e Celulose,B,2,15-30 dias,BRL,paper@papersupply.com,+55-11-5566-7788
FORN016,AsianElectronics Ltd,--,Coreia do Sul,Eletrônicos,A,6,90 dias,USD,sales@asianelec.kr,+82-2-5555-9999
FORN017,BioProdutos Naturais,11.222.444/0001-55,Brasil,Alimentos,A-,4,30 dias,BRL,bio@bioprodutos.com.br,+55-11-4433-2211
FORN018,TechMexico SA,--,México,Tecnologia,B+,2,60 dias,USD,mexico@techmx.com.mx,+52-55-8877-6655
FORN019,BrasilPack Embalagens,22.333.555/0001-66,Brasil,Embalagens,A,5,30-45 dias,BRL,pack@brasilpack.com,+55-11-2233-4455
FORN020,IndiaTech Exports,--,Índia,Tecnologia,B,3,90 dias,USD,export@indiatech.in,+91-11-7788-9900
FORN021,SulFerro Siderúrgica,33.444.666/0001-77,Brasil,Siderurgia,A+,10,60 dias,BRL,ferro@sulferro.com.br,+55-51-5544-6677
FORN022,JapanParts Corporation,--,Japão,Autopeças,A+,15,60-90 dias,JPY,parts@japanparts.jp,+81-3-9988-7766
FORN023,MadeiraBrasil Indústria,44.555.777/0001-88,Brasil,Madeira,B+,4,30 dias,BRL,madeira@madeirabr.com,+55-41-3344-5566
FORN024,ArgentinaMetal SA,--,Argentina,Metalúrgica,B,2,45 dias,USD,metal@armetal.com.ar,+54-11-6677-8899
FORN025,TecnoBrasil Inovação,55.666.888/0001-99,Brasil,Tecnologia,A,6,30-60 dias,BRL,inova@tecnobr.com.br,+55-11-9988-0011
FORN026,FranceParts SARL,--,França,Componentes,A+,8,90 dias,EUR,france@frparts.fr,+33-1-5555-7777
FORN027,MinasSul Mineração,66.777.999/0001-00,Brasil,Mineração,A,7,45 dias,BRL,minas@minassul.com,+55-31-4455-6677
FORN028,CanadaTech Industries,--,Canadá,Tecnologia,A,5,60 dias,CAD,canada@cantech.ca,+1-416-8899-0011
FORN029,NordestePack Ltda,77.888.000/0001-11,Brasil,Embalagens,B+,3,30 dias,BRL,nordeste@nordestepack.com,+55-81-7788-9900
FORN030,SpainSupply SL,--,Espanha,Geral,B,2,60-90 dias,EUR,supply@spainsup.es,+34-91-6677-5544
